lion_no,asset_id,edition_id
1,d67d69bb2d08280b0728efc18a156c20,015ab9c8746c461adcd4e0dfc7fa7dd0
2,4ff213c24521b957083233e690395667,ccf3417c7bcea5531e93e620a82b5e6e
3,f01fada0613e9a70e468e77677144bed,f125353066423d48a1ee73abfb6e5d56
4,26a82ffd9fb6c725867e83992f3bc0e9,00b7389ad8878d2776250acd374c80ba
5,51f864b8e0ef3bde8f0cab73e602711d,e7639eaf33ceabb207bec88dc0c41fd4
6,84606326296365dea86e9426ad6344fb,55077ffcde0fd53ef7e86e3fea02a6b4
7,cd9ac02807c703c72c33672e9dc7aed6,09c5c437acad1cb85200ada07059b282
8,271e48133b4fb315251e5de74182acf8,d5bae48783544050118fd2c236593bf4
9,a3761554872392cebda45ee59bde1923,4afa5bf93a902dfe306b99f91dbc41db
10,e2eeb03be9df7acb8625ba7de25216c0,86ce202b002f2a5daa5a64076127a394
11,2cb77f6a63428046cdb4d942cb1ac139,2939bf37b34b51ad8f86f5ff16e09349
12,f1fb44d8b848624510dee44321f5f30d,f0a6adac2cf94db421fb6da79941b439
13,a6b8ad086a26412e6b47f743fec26b70,863db872e06d291142265c2281a1aaa7
14,8aed85b2d8b24e12dd6a530272e40495,2091e3b0fe63abcc9e5152d8b0d5a2a2
15,881275bffe8788f307efd0ea0a18b08c,e26037f90f7452bc13b4455620d81463
16,12c186d595cfa3c24f03db14ef13e6be,777a0a5bbdd3cea7358946e73e713aa5
17,5e8cf404f9612784b3451031a3e790a0,18f0cdaf58fd714dc828f6cb8f34d959
18,e9a7272c11d57edbd19dae7aa8f18cf7,60003b887b7e6a55e86ede7cc21a5b0b
19,da3ccdc4a2951f71745be5abb884a84b,d1c7cd94a2df355419d9f88682abff9d
20,843a8632b9b0236ca42476d42f55f4b8,21b6c11bbb6a985f4e0a5a516e4b3e25
21,7b77dee90d32e64fc389a4546029ba79,f832721af0e98e4c29af3ac86ae25c8f
22,976f096fd51aa987f325f89bc4575017,b3c56e5a6d73adcfacb14161106995bf
23,bcd494005ab4076f2300661b440f685d,a73b46a9777741740479325ada86ef85
24,a5890683616edab1953c8d18ac164f2f,a4ced1b6b7f431e1c116fbc531d30f65
25,c5e0766232e33753c81c9543166d06d6,0d9205fe65781d367c1eaeb167121b80
26,2d8e9d0ae64c2b55495ac82e920a9bdc,390c1801fc26cba6250b28c2d9ee402e
27,77442d06c76ff4c68fa5e0fc861a376c,87c0382fee9d6faf83760d6592966062
28,e1cacf09d3edd7d19e5eb1f4c907ca68,13c00d25006a71ea114d6caa081c4f5a
29,30ecc453e0d2eb3a024b8234d94e0553,083f45840df577869c65308081025664
30,57881f008140784cccbc4cf12d6360a8,673de8f13f908324454792533a640e35
31,ac6edddea1c9b84fccec2eb2106636fb,802dae65139270accee14a5143973499
32,6efcf0af587eb109d8f9e19700f9c9ff,b5216e77634ac4b1e379c94026ddf2fe
33,9479687c9cac3516077d1707f63e5c24,21d74c475a1a71855406ecc78ab59a91
34,5e97e4ac2f08d4e6986142b7beeb1338,a8701a0a397085e493213ee76aebe49e
35,0915cce30ac2c1b3876ead26d9f915a8,985a8d1db3a24adca0a4bce7e5953f73
36,1a44b6aafbc239c198f6d7e033c9f67e,5bae179a2cb6ebcb7f0204fc2017da1b
37,146ed5d14d6ee7c9f3e259e264202ada,ef12b509033710227d377b8e3e541984
38,f417eeaae1abaf65faef37e2236dbb02,dff2050e44b230bdab91978d985a5365
39,0145ef2bdeeb3371a52882d24b8d71d2,9b251e40ca5d524540e2f0d0956b22c2
40,c0ae2f190b93d0bfdbd509ebe5b95a41,4ca7057ec596837ec1bf1a56385ef9fb
